occ_date,x_coordina,y_coordina,week_no,month_no,day_mo,occ_year,day_no,fyear,call_group_type,case_desc_type
2012-11-24,7640671,685222,223,52,24,2012,1558,2013,4,0
2012-11-25,7636890,706745,223,52,25,2012,1557,2013,4,0
2012-12-05,7645380,674436,221,51,5,2012,1547,2013,4,0
2012-12-05,7685094,675480,221,51,5,2012,1547,2013,4,0
2012-12-13,7648635,675671,220,51,13,2012,1539,2013,4,0
2012-03-10,7627092,724482,260,60,10,2012,1817,2013,4,0
2012-03-16,7665875,692334,259,60,16,2012,1811,2013,4,0
2012-03-17,7664884,673780,259,60,17,2012,1810,2013,4,0
2012-04-08,7642896,687428,256,59,8,2012,1788,2013,4,0
2012-04-11,7667998,683526,255,59,11,2012,1785,2013,4,0
2012-04-13,7671183,672250,255,59,13,2012,1783,2013,4,0
2012-04-14,7630866,707099,255,59,14,2012,1782,2013,4,0
2012-04-14,7688935,674217,255,59,14,2012,1782,2013,4,0
2012-04-17,7643064,681187,255,59,17,2012,1779,2013,4,0
2012-04-18,7651792,675083,254,59,18,2012,1778,2013,4,0
2012-04-24,7644137,681588,254,59,24,2012,1772,2013,4,0
2012-05-05,7659401,673551,252,58,5,2012,1761,2013,4,0
2012-05-11,7653785,681276,251,58,11,2012,1755,2013,4,0
2012-05-15,7635586,687735,251,58,15,2012,1751,2013,4,0
2012-05-16,7651314,662696,250,58,16,2012,1750,2013,4,0
2012-05-17,7679840,681909,250,58,17,2012,1749,2013,4,0
2012-05-21,7644084,672576,250,58,21,2012,1745,2013,4,0
2012-05-23,7680771,667226,249,58,23,2012,1743,2013,4,0
2012-05-26,7655630,712234,249,58,26,2012,1740,2013,4,0
2012-06-14,7659988,673032,246,57,14,2012,1721,2013,4,0
2012-06-25,7689211,682387,245,57,25,2012,1710,2013,4,0
2012-07-18,7651331,665801,241,56,18,2012,1687,2013,4,0
2012-08-01,7665073,687627,239,55,1,2012,1673,2013,4,0
2012-08-07,7669392,689153,239,55,7,2012,1667,2013,4,0
2012-08-15,7650365,689398,237,55,15,2012,1659,2013,4,0
2012-08-30,7654106,681631,235,55,30,2012,1644,2013,4,0
2012-09-14,7670309,695732,233,54,14,2012,1629,2013,4,0
2012-09-20,7666881,662909,232,54,20,2012,1623,2013,4,0
2012-10-11,7682987,692361,229,53,11,2012,1602,2013,4,0
2012-10-18,7644869,684100,228,53,18,2012,1595,2013,4,0
2012-10-22,7649074,688060,228,53,22,2012,1591,2013,4,0
2012-10-23,7684784,674321,228,53,23,2012,1590,2013,4,0
2012-11-23,7658181,673514,223,52,23,2012,1559,2013,4,0
2012-11-25,7644019,686939,223,52,25,2012,1557,2013,4,0
2012-11-28,7669196,685980,222,52,28,2012,1554,2013,4,0
2012-12-01,7673990,687831,222,51,1,2012,1551,2013,4,0
2012-12-04,7657374,673564,222,51,4,2012,1548,2013,4,0
2012-12-07,7670236,696888,221,51,7,2012,1545,2013,4,0
2012-12-07,7675776,673401,221,51,7,2012,1545,2013,4,0
2012-12-08,7679772,688445,221,51,8,2012,1544,2013,4,0
2012-12-14,7660369,682246,220,51,14,2012,1538,2013,4,0
2012-12-25,7648672,696124,219,51,25,2012,1527,2013,4,0
2012-03-02,7665496,664654,261,60,2,2012,1825,2013,4,0
2012-03-06,7625173,708154,261,60,6,2012,1821,2013,4,0
2012-03-22,7655909,687235,258,60,22,2012,1805,2013,4,0
2012-03-31,7672819,672207,257,60,31,2012,1796,2013,4,0
2012-04-06,7663923,670628,256,59,6,2012,1790,2013,4,0
2012-04-13,7634827,707682,255,59,13,2012,1783,2013,4,0
2012-05-01,7635140,704963,253,58,1,2012,1765,2013,4,0
2012-05-09,7679095,680847,251,58,9,2012,1757,2013,4,0
2012-05-15,7642639,686646,251,58,15,2012,1751,2013,4,0
2012-05-17,7638933,683681,250,58,17,2012,1749,2013,4,0
2012-05-24,7640699,679184,249,58,24,2012,1742,2013,4,0
2012-05-24,7648018,695798,249,58,24,2012,1742,2013,4,0
2012-05-31,7634019,708779,248,58,31,2012,1735,2013,4,0
2012-06-04,7668808,675159,248,57,4,2012,1731,2013,4,0
2012-06-09,7680900,672994,247,57,9,2012,1726,2013,4,0
2012-07-06,7688534,681596,243,56,6,2012,1699,2013,4,0
2012-07-08,7657683,663956,243,56,8,2012,1697,2013,4,0
2012-07-12,7665041,672751,242,56,12,2012,1693,2013,4,0
2012-07-14,7664906,663176,242,56,14,2012,1691,2013,4,0
2012-07-18,7683378,671685,241,56,18,2012,1687,2013,4,0
2012-07-22,7646890,700377,241,56,22,2012,1683,2013,4,0
2012-07-31,7633913,705751,240,56,31,2012,1674,2013,4,0
2012-08-04,7643354,683317,239,55,4,2012,1670,2013,4,0
2012-08-15,7626291,656974,237,55,15,2012,1659,2013,4,0
2012-08-16,7674555,672552,237,55,16,2012,1658,2013,4,0
2012-08-20,7644034,715918,237,55,20,2012,1654,2013,4,0
2012-08-23,7655009,672719,236,55,23,2012,1651,2013,4,0
2012-08-29,7633965,703824,235,55,29,2012,1645,2013,4,0
2012-09-05,7667234,664647,234,54,5,2012,1638,2013,4,0
2012-09-08,7669848,670404,234,54,8,2012,1635,2013,4,0
2012-09-13,7658839,684799,233,54,13,2012,1630,2013,4,0
2012-09-17,7670078,667681,233,54,17,2012,1626,2013,4,0
2012-09-20,7668545,673119,232,54,20,2012,1623,2013,4,0
2012-09-22,7662421,697347,232,54,22,2012,1621,2013,4,0
2012-10-04,7657889,679439,230,53,4,2012,1609,2013,4,0
2012-10-06,7689897,682641,230,53,6,2012,1607,2013,4,0
2012-10-07,7648962,683534,230,53,7,2012,1606,2013,4,0
2012-10-07,7660907,688113,230,53,7,2012,1606,2013,4,0
2012-10-09,7630528,695310,230,53,9,2012,1604,2013,4,0
2012-10-14,7642248,683975,229,53,14,2012,1599,2013,4,0
2012-10-24,7662754,699834,227,53,24,2012,1589,2013,4,0
2012-10-31,7691011,672277,226,53,31,2012,1582,2013,4,0
2012-11-04,7689211,682387,226,52,4,2012,1578,2013,4,0
2012-03-06,7633798,705713,261,60,6,2012,1821,2013,4,0
2012-03-09,7650315,675327,260,60,9,2012,1818,2013,4,0
2012-03-11,7665074,663797,260,60,11,2012,1816,2013,4,0
2012-03-14,7636340,708563,259,60,14,2012,1813,2013,4,0
2012-03-16,7652244,700300,259,60,16,2012,1811,2013,4,0
2012-03-21,7643880,697482,258,60,21,2012,1806,2013,4,0
2012-04-02,7667625,665042,257,59,2,2012,1794,2013,4,0
2012-04-08,7647819,693465,256,59,8,2012,1788,2013,4,0
2012-04-10,7669718,695444,256,59,10,2012,1786,2013,4,0
2012-04-11,7685965,674491,255,59,11,2012,1785,2013,4,0
2012-04-18,7643842,709875,254,59,18,2012,1778,2013,4,0
2012-04-29,7692909,678377,253,59,29,2012,1767,2013,4,0
2012-05-05,7664186,670663,252,58,5,2012,1761,2013,4,0
2012-05-05,7671321,674063,252,58,5,2012,1761,2013,4,0
2012-05-07,7684334,682348,252,58,7,2012,1759,2013,4,0
2012-05-16,7688294,685794,250,58,16,2012,1750,2013,4,0
2012-05-25,7681577,684540,249,58,25,2012,1741,2013,4,0
2012-05-27,7643415,684135,249,58,27,2012,1739,2013,4,0
2012-05-29,7668240,679894,249,58,29,2012,1737,2013,4,0
2012-05-29,7677523,690489,249,58,29,2012,1737,2013,4,0
2012-06-02,7662510,670709,248,57,2,2012,1733,2013,4,0
2012-06-18,7678375,677802,246,57,18,2012,1717,2013,4,0
2012-07-11,7633266,707772,242,56,11,2012,1694,2013,4,0
2012-07-18,7667025,663131,241,56,18,2012,1687,2013,4,0
2012-07-23,7656324,672612,241,56,23,2012,1682,2013,4,0
2012-07-26,7669658,669326,240,56,26,2012,1679,2013,4,0
2012-08-12,7654150,687543,238,55,12,2012,1662,2013,4,0
2012-08-19,7640050,684695,237,55,19,2012,1655,2013,4,0
2012-08-24,7649785,711981,236,55,24,2012,1650,2013,4,0
2012-08-25,7640819,687692,236,55,25,2012,1649,2013,4,0
2012-09-06,7690452,678653,234,54,6,2012,1637,2013,4,0
2012-09-15,7663520,669291,233,54,15,2012,1628,2013,4,0
2012-09-26,7652616,675993,231,54,26,2012,1617,2013,4,0
2012-09-26,7676035,690030,231,54,26,2012,1617,2013,4,0
2012-10-02,7678174,680827,231,53,2,2012,1611,2013,4,0
2012-10-12,7683490,679369,229,53,12,2012,1601,2013,4,0
2012-10-13,7653695,673643,229,53,13,2012,1600,2013,4,0
2012-10-18,7640816,684572,228,53,18,2012,1595,2013,4,0
2012-10-23,7692144,674461,228,53,23,2012,1590,2013,4,0
2012-10-24,7684631,679704,227,53,24,2012,1589,2013,4,0
2012-11-16,7662680,698511,224,52,16,2012,1566,2013,4,0
2012-11-26,7625841,712344,223,52,26,2012,1556,2013,4,0
2012-11-27,7673214,671625,223,52,27,2012,1555,2013,4,0
2012-12-15,7673227,680796,220,51,15,2012,1537,2013,4,0
2012-12-20,7671640,683316,219,51,20,2012,1532,2013,4,0
2012-03-01,7661410,682295,261,60,1,2012,1826,2013,3,3
2012-03-02,7653412,684619,261,60,2,2012,1825,2013,3,3
2012-03-02,7657718,688128,261,60,2,2012,1825,2013,3,3
2012-03-03,7643077,685529,261,60,3,2012,1824,2013,3,3
2012-03-08,7659808,689008,260,60,8,2012,1819,2013,3,3
2012-03-10,7691767,677104,260,60,10,2012,1817,2013,3,3
2012-03-11,7650538,686037,260,60,11,2012,1816,2013,3,3
2012-03-12,7677509,681106,260,60,12,2012,1815,2013,3,3
2012-03-15,7638367,687633,259,60,15,2012,1812,2013,3,3
2012-03-16,7644971,679423,259,60,16,2012,1811,2013,3,3
2012-03-18,7648634,708195,259,60,18,2012,1809,2013,3,3
2012-03-18,7656684,685148,259,60,18,2012,1809,2013,3,3
2012-03-19,7630419,710844,259,60,19,2012,1808,2013,3,3
2012-03-19,7641516,683934,259,60,19,2012,1808,2013,3,3
2012-03-19,7671987,676545,259,60,19,2012,1808,2013,3,3
2012-03-22,7666756,674938,258,60,22,2012,1805,2013,3,3
2012-03-23,7666987,661989,258,60,23,2012,1804,2013,3,3
2012-03-28,7633355,665768,257,60,28,2012,1799,2013,3,3
2012-03-28,7681198,683174,257,60,28,2012,1799,2013,3,3
2012-03-31,7616228,698500,257,60,31,2012,1796,2013,3,3
2012-04-11,7649829,678019,255,59,11,2012,1785,2013,3,3
2012-04-11,7654500,689355,255,59,11,2012,1785,2013,3,3
2012-04-13,7659498,686635,255,59,13,2012,1783,2013,3,3
2012-04-14,7669926,669105,255,59,14,2012,1782,2013,3,3
2012-04-16,7647760,695919,255,59,16,2012,1780,2013,3,3
2012-04-21,7664656,672588,254,59,21,2012,1775,2013,3,3
2012-04-23,7647880,692262,254,59,23,2012,1773,2013,3,3
2012-04-25,7663142,691282,253,59,25,2012,1771,2013,3,3
2012-04-26,7647230,702159,253,59,26,2012,1770,2013,3,3
2012-04-28,7674199,687467,253,59,28,2012,1768,2013,3,3
2012-04-30,7623637,711829,253,59,30,2012,1766,2013,3,3
2012-04-30,7670723,689747,253,59,30,2012,1766,2013,3,3
2012-04-30,7678424,680835,253,59,30,2012,1766,2013,3,3
2012-05-01,7669298,689181,253,58,1,2012,1765,2013,3,3
2012-05-05,7649569,674952,252,58,5,2012,1761,2013,3,3
2012-05-07,7647933,691868,252,58,7,2012,1759,2013,3,3
2012-05-09,7626695,708917,251,58,9,2012,1757,2013,3,3
2012-05-09,7671529,668433,251,58,9,2012,1757,2013,3,3
2012-05-09,7685975,682631,251,58,9,2012,1757,2013,3,3
2012-05-10,7648481,702534,251,58,10,2012,1756,2013,3,3
2012-05-10,7690738,665369,251,58,10,2012,1756,2013,3,3
2012-11-14,7685816,678550,224,52,14,2012,1568,2013,4,0
2012-11-16,7642257,695590,224,52,16,2012,1566,2013,4,0
2012-11-23,7652837,702943,223,52,23,2012,1559,2013,4,0
2012-11-28,7651067,699061,222,52,28,2012,1554,2013,4,0
2012-12-07,7675932,683893,221,51,7,2012,1545,2013,4,0
2012-12-14,7668813,667515,220,51,14,2012,1538,2013,4,0
2012-12-17,7635094,709735,220,51,17,2012,1535,2013,4,0
2012-12-26,7657865,673625,218,51,26,2012,1526,2013,4,0
2012-12-26,7671414,676843,218,51,26,2012,1526,2013,4,0
2012-12-29,7624094,709457,218,51,29,2012,1523,2013,4,0
2012-12-30,7669488,694106,218,51,30,2012,1522,2013,4,0
2012-03-02,7636022,667101,261,60,2,2012,1825,2013,3,3
2012-03-04,7654545,686387,261,60,4,2012,1823,2013,3,3
2012-03-04,7678148,687363,261,60,4,2012,1823,2013,3,3
2012-03-17,7628596,680180,259,60,17,2012,1810,2013,3,3
2012-03-18,7640671,685222,259,60,18,2012,1809,2013,3,3
2012-03-18,7669361,701210,259,60,18,2012,1809,2013,3,3
2012-03-19,7666709,678940,259,60,19,2012,1808,2013,3,3
2012-03-25,7684723,682385,258,60,25,2012,1802,2013,3,3
2012-03-27,7639507,656914,258,60,27,2012,1800,2013,3,3
2012-03-27,7646856,692243,258,60,27,2012,1800,2013,3,3
2012-04-01,7664617,671459,257,59,1,2012,1795,2013,3,3
2012-04-08,7648034,695652,256,59,8,2012,1788,2013,3,3
2012-04-10,7666991,687364,256,59,10,2012,1786,2013,3,3
2012-04-13,7647977,692149,255,59,13,2012,1783,2013,3,3
2012-04-13,7675354,680511,255,59,13,2012,1783,2013,3,3
2012-04-14,7645240,695629,255,59,14,2012,1782,2013,3,3
2012-04-17,7672024,661144,255,59,17,2012,1779,2013,3,3
2012-04-19,7681381,676416,254,59,19,2012,1777,2013,3,3
2012-04-20,7652769,681493,254,59,20,2012,1776,2013,3,3
2012-04-21,7643912,700297,254,59,21,2012,1775,2013,3,3
2012-04-23,7665732,698715,254,59,23,2012,1773,2013,3,3
2012-04-23,7669023,684808,254,59,23,2012,1773,2013,3,3
2012-04-24,7690069,676203,254,59,24,2012,1772,2013,3,3
2012-04-24,7691015,670915,254,59,24,2012,1772,2013,3,3
2012-04-29,7641573,698663,253,59,29,2012,1767,2013,3,3
2012-04-29,7644474,683137,253,59,29,2012,1767,2013,3,3
2012-04-30,7654883,673793,253,59,30,2012,1766,2013,3,3
2012-04-30,7655123,685001,253,59,30,2012,1766,2013,3,3
2012-05-01,7669594,669326,253,58,1,2012,1765,2013,3,3
2012-05-02,7679791,670322,252,58,2,2012,1764,2013,3,3
2012-05-04,7664988,691483,252,58,4,2012,1762,2013,3,3
2012-12-28,7629804,663818,218,51,28,2012,1524,2013,4,0
2012-12-30,7655095,692042,218,51,30,2012,1522,2013,4,0
2012-03-03,7656865,672320,261,60,3,2012,1824,2013,3,3
2012-03-06,7675681,688562,261,60,6,2012,1821,2013,3,3
2012-03-07,7633926,660173,260,60,7,2012,1820,2013,3,3
2012-03-11,7618432,688870,260,60,11,2012,1816,2013,3,3
2012-03-11,7666001,692510,260,60,11,2012,1816,2013,3,3
2012-03-20,7669151,687220,259,60,20,2012,1807,2013,3,3
2012-03-21,7641527,679007,258,60,21,2012,1806,2013,3,3
2012-03-22,7624068,708892,258,60,22,2012,1805,2013,3,3
2012-03-23,7656063,686235,258,60,23,2012,1804,2013,3,3
2012-03-25,7647474,697371,258,60,25,2012,1802,2013,3,3
2012-03-25,7675196,688730,258,60,25,2012,1802,2013,3,3
2012-03-29,7653372,685688,257,60,29,2012,1798,2013,3,3
2012-03-30,7629960,706614,257,60,30,2012,1797,2013,3,3
2012-03-31,7664117,686235,257,60,31,2012,1796,2013,3,3
2012-03-31,7671402,686137,257,60,31,2012,1796,2013,3,3
2012-03-31,7685752,674117,257,60,31,2012,1796,2013,3,3
2012-04-01,7686394,683384,257,59,1,2012,1795,2013,3,3
2012-04-07,7643785,679508,256,59,7,2012,1789,2013,3,3
2012-04-07,7652065,674719,256,59,7,2012,1789,2013,3,3
2012-04-09,7659061,676783,256,59,9,2012,1787,2013,3,3
2012-04-12,7644474,683137,255,59,12,2012,1784,2013,3,3
2012-04-13,7678143,692773,255,59,13,2012,1783,2013,3,3
2012-04-16,7638788,706365,255,59,16,2012,1780,2013,3,3
2012-04-19,7682121,677987,254,59,19,2012,1777,2013,3,3
2012-04-27,7684780,691818,253,59,27,2012,1769,2013,3,3
2012-04-29,7659932,686576,253,59,29,2012,1767,2013,3,3
2012-04-30,7664539,671508,253,59,30,2012,1766,2013,3,3
2012-05-04,7646022,693713,252,58,4,2012,1762,2013,3,3
2012-05-10,7622358,711640,251,58,10,2012,1756,2013,3,3
2012-05-11,7682612,694627,251,58,11,2012,1755,2013,3,3
2012-05-12,7640896,684752,251,58,12,2012,1754,2013,3,3
2012-05-15,7664832,664156,251,58,15,2012,1751,2013,3,3
2012-05-17,7650647,683506,250,58,17,2012,1749,2013,3,3
2012-05-17,7681918,685609,250,58,17,2012,1749,2013,3,3
2012-05-19,7689304,682462,250,58,19,2012,1747,2013,3,3
2012-05-20,7634148,704242,250,58,20,2012,1746,2013,3,3
2012-05-23,7655466,699161,249,58,23,2012,1743,2013,3,3
2012-05-23,7674970,689034,249,58,23,2012,1743,2013,3,3
2012-05-24,7661829,663664,249,58,24,2012,1742,2013,3,3
2012-05-25,7653793,692011,249,58,25,2012,1741,2013,3,3
2012-11-27,7682858,673376,223,52,27,2012,1555,2013,4,0
2012-12-24,7655785,682553,219,51,24,2012,1528,2013,4,0
2012-03-04,7642116,685089,261,60,4,2012,1823,2013,3,3
2012-03-04,7665577,685461,261,60,4,2012,1823,2013,3,3
2012-03-05,7661771,680568,261,60,5,2012,1822,2013,3,3
2012-03-08,7634797,704597,260,60,8,2012,1819,2013,3,3
2012-03-13,7650250,672464,260,60,13,2012,1814,2013,3,3
2012-03-16,7633114,709369,259,60,16,2012,1811,2013,3,3
2012-03-17,7683756,676193,259,60,17,2012,1810,2013,3,3
2012-03-18,7649703,683024,259,60,18,2012,1809,2013,3,3
2012-03-20,7671694,669231,259,60,20,2012,1807,2013,3,3
2012-03-25,7656610,686177,258,60,25,2012,1802,2013,3,3
2012-03-26,7626304,706533,258,60,26,2012,1801,2013,3,3
2012-03-27,7678543,672931,258,60,27,2012,1800,2013,3,3
2012-03-29,7651233,692192,257,60,29,2012,1798,2013,3,3
2012-04-02,7649625,678210,257,59,2,2012,1794,2013,3,3
2012-04-02,7671624,685419,257,59,2,2012,1794,2013,3,3
2012-04-02,7674312,682533,257,59,2,2012,1794,2013,3,3
2012-04-03,7640841,700090,257,59,3,2012,1793,2013,3,3
2012-04-03,7681110,675768,257,59,3,2012,1793,2013,3,3
2012-04-13,7687881,676355,255,59,13,2012,1783,2013,3,3
2012-04-14,7655268,667132,255,59,14,2012,1782,2013,3,3
2012-04-15,7662883,691551,255,59,15,2012,1781,2013,3,3
2012-04-17,7650102,672543,255,59,17,2012,1779,2013,3,3
2012-04-20,7687692,681610,254,59,20,2012,1776,2013,3,3
2012-04-22,7653453,688762,254,59,22,2012,1774,2013,3,3
2012-04-25,7649854,683926,253,59,25,2012,1771,2013,3,3
2012-04-28,7654690,698370,253,59,28,2012,1768,2013,3,3
2012-04-29,7640202,662508,253,59,29,2012,1767,2013,3,3
2012-04-30,7659200,699810,253,59,30,2012,1766,2013,3,3
2012-04-30,7667219,671216,253,59,30,2012,1766,2013,3,3
2012-05-01,7650708,681537,253,58,1,2012,1765,2013,3,3
2012-05-01,7676163,669364,253,58,1,2012,1765,2013,3,3
2012-05-03,7629339,711225,252,58,3,2012,1763,2013,3,3
2012-05-04,7639730,707124,252,58,4,2012,1762,2013,3,3
2012-05-05,7674959,668676,252,58,5,2012,1761,2013,3,3
2012-05-06,7691017,681416,252,58,6,2012,1760,2013,3,3
2012-05-12,7653546,677323,251,58,12,2012,1754,2013,3,3
2012-05-12,7660801,677314,251,58,12,2012,1754,2013,3,3
2012-05-14,7660246,690743,251,58,14,2012,1752,2013,3,3
2012-05-17,7656139,700526,250,58,17,2012,1749,2013,3,3
2012-05-18,7668414,672610,250,58,18,2012,1748,2013,3,3
2012-05-15,7659638,671893,251,58,15,2012,1751,2013,3,3
2012-05-16,7646794,692435,250,58,16,2012,1750,2013,3,3
2012-05-16,7649131,694859,250,58,16,2012,1750,2013,3,3
2012-05-18,7669481,696750,250,58,18,2012,1748,2013,3,3
2012-05-20,7663808,667219,250,58,20,2012,1746,2013,3,3
2012-05-21,7670824,678138,250,58,21,2012,1745,2013,3,3
2012-05-22,7629095,682225,250,58,22,2012,1744,2013,3,3
2012-05-22,7629286,665874,250,58,22,2012,1744,2013,3,3
2012-05-22,7657303,669126,250,58,22,2012,1744,2013,3,3
2012-05-24,7639696,685298,249,58,24,2012,1742,2013,3,3
2012-05-26,7660914,677706,249,58,26,2012,1740,2013,3,3
2012-05-29,7644905,690223,249,58,29,2012,1737,2013,3,3
2012-05-29,7666709,678940,249,58,29,2012,1737,2013,3,3
2012-05-30,7663641,672798,248,58,30,2012,1736,2013,3,3
2012-05-30,7664496,688436,248,58,30,2012,1736,2013,3,3
2012-06-01,7652785,667007,248,57,1,2012,1734,2013,3,3
2012-06-02,7636186,705798,248,57,2,2012,1733,2013,3,3
2012-06-04,7666931,695688,248,57,4,2012,1731,2013,3,3
2012-06-04,7672211,662576,248,57,4,2012,1731,2013,3,3
2012-06-08,7651608,696800,247,57,8,2012,1727,2013,3,3
2012-06-08,7653357,696744,247,57,8,2012,1727,2013,3,3
2012-06-09,7628847,659584,247,57,9,2012,1726,2013,3,3
2012-06-09,7683893,672947,247,57,9,2012,1726,2013,3,3
2012-06-16,7675310,695517,246,57,16,2012,1719,2013,3,3
2012-06-20,7662176,667289,245,57,20,2012,1715,2013,3,3
2012-06-21,7690281,679952,245,57,21,2012,1714,2013,3,3
2012-06-22,7656884,692863,245,57,22,2012,1713,2013,3,3
2012-06-23,7633729,704148,245,57,23,2012,1712,2013,3,3
2012-06-23,7635975,689412,245,57,23,2012,1712,2013,3,3
2012-06-23,7661376,684005,245,57,23,2012,1712,2013,3,3
2012-06-25,7648434,675742,245,57,25,2012,1710,2013,3,3
2012-06-25,7675419,696427,245,57,25,2012,1710,2013,3,3
2012-06-26,7654747,690167,245,57,26,2012,1709,2013,3,3
2012-06-27,7678302,663401,244,57,27,2012,1708,2013,3,3
2012-06-29,7632937,706427,244,57,29,2012,1706,2013,3,3
2012-06-29,7658540,689602,244,57,29,2012,1706,2013,3,3
2012-06-29,7687999,678116,244,57,29,2012,1706,2013,3,3
2012-07-02,7656338,663462,244,56,2,2012,1703,2013,3,3
2012-07-02,7689392,676670,244,56,2,2012,1703,2013,3,3
2012-07-04,7693318,676310,243,56,4,2012,1701,2013,3,3
2012-07-05,7642705,703912,243,56,5,2012,1700,2013,3,3
2012-07-10,7688931,682735,243,56,10,2012,1695,2013,3,3
2012-07-12,7661462,666807,242,56,12,2012,1693,2013,3,3
2012-05-05,7651030,670700,252,58,5,2012,1761,2013,3,3
2012-05-05,7680455,694602,252,58,5,2012,1761,2013,3,3
2012-05-06,7674844,671835,252,58,6,2012,1760,2013,3,3
2012-05-06,7681794,693896,252,58,6,2012,1760,2013,3,3
2012-05-10,7666956,684179,251,58,10,2012,1756,2013,3,3
2012-05-15,7654854,688823,251,58,15,2012,1751,2013,3,3
2012-05-15,7668021,693944,251,58,15,2012,1751,2013,3,3
2012-05-17,7671276,672065,250,58,17,2012,1749,2013,3,3
2012-05-18,7669082,699232,250,58,18,2012,1748,2013,3,3
2012-05-21,7675157,669716,250,58,21,2012,1745,2013,3,3
2012-05-22,7660851,669236,250,58,22,2012,1744,2013,3,3
2012-05-25,7659638,671893,249,58,25,2012,1741,2013,3,3
2012-05-26,7662824,671877,249,58,26,2012,1740,2013,3,3
2012-05-29,7636076,678002,249,58,29,2012,1737,2013,3,3
2012-05-29,7642742,696078,249,58,29,2012,1737,2013,3,3
2012-05-29,7673714,661480,249,58,29,2012,1737,2013,3,3
2012-05-31,7664828,663998,248,58,31,2012,1735,2013,3,3
2012-06-02,7653795,708465,248,57,2,2012,1733,2013,3,3
2012-06-02,7658776,668343,248,57,2,2012,1733,2013,3,3
2012-06-12,7617062,712997,247,57,12,2012,1723,2013,3,3
2012-06-12,7661477,699373,247,57,12,2012,1723,2013,3,3
2012-06-15,7638482,702573,246,57,15,2012,1720,2013,3,3
2012-06-19,7652062,690545,246,57,19,2012,1716,2013,3,3
2012-06-21,7669537,661426,245,57,21,2012,1714,2013,3,3
2012-06-23,7681647,679113,245,57,23,2012,1712,2013,3,3
2012-06-24,7650030,689557,245,57,24,2012,1711,2013,3,3
2012-06-24,7651842,698925,245,57,24,2012,1711,2013,3,3
2012-06-24,7673868,669154,245,57,24,2012,1711,2013,3,3
2012-06-24,7680784,663077,245,57,24,2012,1711,2013,3,3
2012-06-30,7651032,695619,244,57,30,2012,1705,2013,3,3
2012-06-30,7663768,667220,244,57,30,2012,1705,2013,3,3
2012-07-01,7652215,702073,244,56,1,2012,1704,2013,3,3
2012-07-02,7682692,689523,244,56,2,2012,1703,2013,3,3
2012-07-09,7671016,667559,243,56,9,2012,1696,2013,3,3
2012-07-10,7642623,687246,243,56,10,2012,1695,2013,3,3
2012-07-10,7672527,685157,243,56,10,2012,1695,2013,3,3
2012-07-13,7652058,683436,242,56,13,2012,1692,2013,3,3
2012-07-14,7639940,699770,242,56,14,2012,1691,2013,3,3
