x,y
7634954.18108672,720713.0942136
7635090.10219965,720782.33456508
7635240.57465899,720807.37082265
7635391.5932254,720785.87273414
7635529.10183059,720719.84123628
7636703.91786794,719914.69021613
7637347.39982808,719489.20133087
7638735.40405751,718657.50966042
7638928.08351638,718902.39434448
7640282.32083989,720622.28646062
7640413.16691339,720801.7716438
7640424.7484809,720817.03521838
7641169.8000509,721760.83858838
7641294.58873328,721873.35295061
7641449.60386232,721938.17583798
7641617.34007744,721947.98701002
7641778.85546666,721901.67852261
7642285.90445666,721657.96672261
7642348.47489019,721622.12312637
7644144.49222583,720413.36039105
7645869.50459672,719466.89653984
7645874.78988322,719463.954925
7645941.15941322,719426.488255
7645941.979832,719426.02409504
7646578.8480476,719064.91675827
7654231.71556563,716084.5967641
7660118.85276186,715664.68984572
7661482.61807468,715626.0993902
7661515.8797874,715624.04718619
7662377.61329741,715541.97732619
7662499.4490292,715514.71628258
7667725.1580092,713634.95972258
7667731.0064471,713632.81472273
7670339.37568436,712657.68047659
7674908.36145462,711485.71806603
7674939.88686264,711476.51827625
7677344.34149056,710688.28303215
7677477.62249716,710688.43466207
7677532.46103976,710711.32842127
7677659.48859172,710745.60080238
7677791.05831699,710745.55124492
7677918.06001463,710711.18318036
7682236.36182463,708904.57583036
7682289.24258278,708878.6953189
7684138.98267859,707834.16880601
7687576.11373263,706927.48398246
7687621.25479333,706913.25949044
7688860.40916358,706457.26472575
7692392.30422137,705496.69710207
7692454.45973804,705475.31527081
7696736.72218804,703679.41269081
7696846.37779071,703616.02978136
7701734.17306071,699891.84236136
7701845.71535051,699773.65038333
7701913.46057693,699625.92898887
7701930.2518562,699464.28407238
7701894.31528866,699305.7924663
7701809.44736082,699167.19787439
7701684.61386888,699063.14199818
7701533.00273529,699004.61772751
7701370.63078248,698997.80780654
7696878.49431313,699545.49714822
7696742.3750544,696502.16545042
7696802.17612199,696504.11416053
7696962.50527137,696483.18123272
7697107.77103775,696412.17784742
7697222.78232706,696298.52914774
7697295.51189186,696154.11988899
7697318.35407468,695994.05159641
7697290.88021004,694664.24562028
7697277.67934818,694014.90581648
7697277.55402917,694009.95039634
7697269.00126407,693727.21565311
7697284.50737975,693718.75167992
7697392.57900974,693603.69915169
7697459.39841881,693460.68961343
7697478.30596732,693303.97628895
7697470.45580732,693099.87212895
7697440.0400989,692946.35364023
7697363.65439211,692809.75837862
7697290.05154361,692741.65468194
7697292.61946844,692730.93580487
7697303.68105844,692636.02023487
7697306.88770216,692565.70729714
7697305.10357216,692493.98537714
7697279.7474814,692348.74906527
7697213.13641212,692217.22156596
7697111.06193506,692110.83867844
7696982.39902489,692038.84997674
7696901.39964489,692008.16298674
7696738.82403752,691975.94456059
7696574.64807075,691998.64053009
7696512.59789475,692030.18975028
7696502.36930189,692029.68780854
7696392.25382168,691932.93477904
7696240.49415887,691870.35935574
7696076.64795464,691860.30449529
7696042.86660841,691863.81715729
7696022.55844024,691828.49130366
7695902.08260601,691721.63320287
7695753.88825736,691658.61324281
7695593.3479381,691645.96863021
7695490.5821981,691654.53244021
7695460.10774007,691658.01606724
7695229.59849007,691691.55765724
7695221.01446431,691692.8829623
7694991.57568431,691730.3496423
7694977.73321299,691732.81036462
7694593.98043932,691806.60896699
7692383.43696939,692176.86369388
7692366.36363656,692144.89832445
7692337.47402745,690280.28952119
7692310.55386023,690126.00998926
7692237.22691066,689987.62636363
7692124.68710079,689878.71511274
7691983.97542749,689809.96124469
7691828.89675808,689788.11002803
7691325.69864511,689796.80384315
7691295.30201385,689166.07388581
7691284.74193987,688744.72677039
7691284.71539487,688743.7089963
7691270.44237487,688217.0346063
7691270.3907445,688215.24744414
7691238.6332745,687180.09675414
7691236.86228271,687150.68421718
7691218.06515077,686941.47904947
7691205.22339164,686754.40582015
7691171.97694657,686606.34173441
7691095.84447115,686475.07046649
7690983.83877121,686372.68383272
7690923.07251028,686344.38129838
7690913.03676339,686303.085465
7690843.83300573,686190.83900935
7690896.32599055,686063.22077788
7690897.21809692,686051.5714072
7690941.87575208,685999.07857293
7691001.43109013,685854.78562074
7691013.58792357,685699.15944768
7691003.95363357,685577.12513768
7690989.503007,685490.99530256
7690957.031887,685365.74956256
7690884.71602691,685207.47468507
7690762.53631484,685083.56892079
7690728.17851554,685067.28445074
7690716.38468771,684788.88809085
7690701.14402399,684714.93765016
7690784.84875105,684625.83582985
7690851.49492287,684484.21189238
7690871.08755487,684328.92125951
7690861.09644487,684013.48753951
7690831.8202276,683860.03879837
7690756.61903076,683723.11402686
7690654.7177226,683627.25816201
7690639.14253361,683143.63865404
7690609.75251553,682990.11569276
7690599.75557209,682971.9486601
7690608.55678523,682953.22388202
7690628.08332506,682797.94889045
7690613.59010598,682345.84108447
7690665.95690947,682290.32486248
7690732.96398284,682148.29877078
7690740.6419556,682087.41436506
7690848.08987818,681971.85598427
7690858.42470405,681949.41743837
7690863.57103453,681949.27562504
7690904.27988199,681970.22623614
7691069.42290348,681993.52737361
7691094.60101754,681992.83756319
7691249.37436966,681989.13646154
7691300.52658215,682014.08072553
7691453.63582212,682036.13980179
7691599.57743212,682034.35567179
7691600.64169461,682034.34152829
7691749.79474461,682032.20057829
7691804.94902345,682022.55564409
7691921.47385655,682038.17740507
7692026.73736655,682035.67962507
7692179.7120008,682007.86819669
7692181.78872422,682006.75496617
7692195.96321225,682006.42618202
7692349.73316632,681978.42342806
7692487.34410241,681904.31146362
7692521.17479131,681868.92268832
7692591.45556804,681902.88650896
7692746.96941899,681924.00612528
7692804.78617759,681922.69847553
7692813.74824344,681927.00532066
7692968.576268,681947.91301243
7693078.835338,681945.41524243
7693232.91377123,681917.39310821
7693248.60373817,681908.93519053
7693252.07848912,681908.313876
7693296.34959941,681929.69770702
7693452.01878873,681950.76071695
7693482.70577873,681950.04706695
7693832.50145941,681941.83758368
7693985.5632878,681914.03790486
7694122.67263358,681840.54115152
7694230.55690324,681728.46202853
7694298.7725778,681588.6501292
7694320.71617655,681434.63966226
7694316.07743655,681118.49230226
7694316.03573782,681116.05530351
7694311.39700782,680878.76636351
7694283.77654271,680724.38107338
7694215.98659825,680597.8998536
7694211.78814527,680350.73818751
7694222.95210267,680272.53097563
7694213.67464267,679600.98543563
7694205.61045631,679028.73766321
7694211.73107942,678984.08963888
7694263.15004714,678930.14865108
7694300.97062187,678851.43956457
7694331.28623053,678820.07631583
7694399.38900143,678682.98116213
7694422.82207,678531.70671
7694422.82207,678424.65907
7694397.41500753,678267.30105892
7694323.7758954,678125.93506712
7694279.86048555,678083.31736047
7694248.40860359,678024.38272734
7694201.90737753,677979.89719144
7694186.40670864,677044.90531943
7694244.60714912,676925.41989334
7694266.47756799,676771.56792551
7694259.34105798,676290.21036551
7694232.42479156,676135.62318346
7694158.92146673,675996.99077928
7694143.45268002,675982.04658299
7694139.01600139,675787.38739249
7694118.63200386,675675.43147795
7694134.00179183,675560.0120229
7694130.74020684,675426.20753981
7694248.43421317,675362.86776818
7694356.78955967,675249.27496045
7694424.58177454,675107.68250767
7694445.12811626,674952.04814474
7694441.55986626,674816.81129474
7694434.71419273,674746.51066543
7694412.23418273,674613.77159543
7694393.15321544,674554.41030792
7694426.02315794,674455.14309172
7694451.23528255,674286.44821637
7694442.77328434,673919.40899308
7694441.0129283,673592.3353293
7694414.97476863,673435.75602867
7694408.07412686,673422.6166198
7694579.18466347,673417.55281609
7694733.42987775,673388.33188174
7694871.01125715,673312.72227142
7694978.36578213,673198.17771634
7695044.91025075,673055.99022452
7695064.08458973,672900.17689435
7695040.89093973,672241.47707435
7695011.15603903,672088.36182745
7694935.68800256,671951.859012
7694821.83090967,671845.25223194
7694680.66462361,671778.91579524
7694525.92656824,671759.3051508
7694150.49376498,671770.77925842
7694147.88783234,671682.92211186
7694130.43684285,670958.88420157
7694102.45003792,670805.58203621
7694028.62632165,670668.34183048
7693916.13687525,670560.49499649
7693775.90884038,670492.51769594
7693621.56386466,670471.01319356
7693608.03156593,670471.25730574
7693577.87481733,670412.98386383
7693464.20541011,670301.87886094
7693321.40852135,670232.0640748
7693163.91523651,670210.59500326
7692838.84723651,670218.44516326
7692687.37827797,670245.80113205
7692551.40715895,670317.93329701
7692443.81915232,670428.00606957
7692408.60824599,670498.20525541
7692345.44398289,670499.41337737
7692336.06036364,670161.60305662
7692371.99614168,670160.94064616
7692516.38475396,670136.84688482
7692647.60733477,670071.96842172
7692754.41622948,669971.8662704
7692827.65638602,669845.12061895
7692861.05007396,669702.59538506
7692851.73497596,669556.50702263
7692833.36979125,669507.34374391
7692848.79632085,669425.23972991
7692823.20657903,669258.84306699
7692817.49736903,669241.71543699
7692792.15394524,669185.45976975
7692793.76304308,669184.7222665
7692789.83796308,669176.1584565
7692783.50378489,669166.25871205
7692775.86880447,669149.31108407
7692771.94372447,669142.53140407
7692769.30116449,669144.06130804
7692714.93382542,669059.09010154
7692702.08810541,669044.10343154
7692633.40105152,668977.9438472
7692621.26899152,668968.3095572
7692535.3854022,668913.37963319
7692498.41639075,668894.74484502
7692419.23053066,668851.70191553
7692413.74696867,668848.76526488
7692410.55054743,668847.07896386
7692312.90224967,668741.63080297
7692297.91557967,668730.21239297
7692182.02891658,668664.26837408
7692125.99234517,668649.96732319
7692122.82207784,668647.02902657
7692106.04880545,668632.16779256
7692105.68991064,668631.86388966
7692086.12701402,668595.27873932
7692038.95765787,668522.89547247
7692027.50615367,668508.26298927
7691973.6816959,668436.96372997
7691947.2766059,668409.13133997
7691822.3032715,668313.40830474
7691811.90159336,668307.78577649
7691790.799665,668225.78970066
7691729.04120126,668082.96474074
7691626.36617623,667966.04204725
7691455.74771925,667824.08840383
7691438.62429594,667778.47043598
7691438.3225137,667733.65571726
7691438.06931837,667720.760363
7691424.86677837,667315.049803
7691424.52772429,667306.7515141
7691423.47637535,667285.37416095
7691421.96552839,667253.64633251
7691450.55878155,667286.23813963
7691574.10314266,667363.40089303
7691714.64449391,667401.68180558
7691860.25520343,667397.8320069
7691998.57740697,667352.17822631
7692005.58647926,667348.662028
7692082.17805364,667436.74234139
7692089.67815687,667445.17340594
7692219.47892734,667587.81161843
7692269.24570749,667642.55506962
7692578.86515235,667983.56450272
7692696.91354619,668079.23432586
7692838.24695776,668135.02863673
7692989.81288561,668145.79468824
7693137.61382929,668110.53820805
7693267.99999427,668032.51522213
7693368.92988528,667918.93135246
7693431.08236918,667780.27635942
7693448.71750536,667629.35538565
7693443.3059746,667479.9971489
7693450.92985886,667421.27689942
7693422.02699886,666519.22210942
7693421.99906661,666518.37289096
7693398.45409494,665820.58552778
7693395.2480666,665723.69224784
7693365.96587237,665570.86929818
7693291.12152029,665434.44853802
7693177.96362624,665327.6422093
7693037.45144211,665260.79441987
7692883.193461,665240.37932488
7692724.31827484,665244.297771
7691851.28434754,665264.88987126
7691736.34737007,665265.70071307
7691723.90233141,664871.28876696
7691694.67483114,664717.92048219
7691619.56923415,664581.04379737
7691505.90865989,664474.00477923
7691364.77550423,664407.2401934
7691209.93085817,664387.25987476
7690783.52442817,664399.39194476
7690624.65702411,664430.10474658
7690529.29684635,664484.20085196
7690439.01403319,664482.31569125
7690423.95762546,664055.60720164
7690425.76827133,664018.94157211
7690425.39633149,663962.98290156
7690419.6033491,663870.61703773
7690409.48070652,663418.58831452
7690409.40295487,663415.53341383
7690381.21590212,662426.84606233
7690375.07445241,662209.10374223
7690450.6974608,662167.35995305
7690510.37368381,662102.5012531
7690524.50608211,662102.47854451
7690681.54685143,662076.91065105
7690822.60398935,662003.30084026
7690933.39375646,661889.1029948
7691002.69735033,661745.88102624
7691023.49694477,661588.13788923
7691016.36043477,661339.43053923
7690988.13950818,661187.58348947
7690914.92303762,661051.59343228
7690803.69703036,660944.43596625
7690665.07420366,660876.33560551
7690512.28136385,660853.79019973
7690311.51971431,660855.51070438
7690251.94383918,660747.89212061
7690305.03512941,660636.73902287
7690326.03572105,660484.55640711
7690322.11064105,660255.11762711
7690321.95974983,660248.7037352
7690300.19781454,659521.99801161
7690294.84977189,659339.8079608
7690292.70584467,659267.27131515
7690292.46926275,659260.72110683
7690289.97148275,659202.20172683
7690286.56526041,659161.50643916
7690286.06905396,659157.53678645
7690288.62176295,658875.14298342
7690284.22059079,658804.27546352
7690270.12246171,658698.97108432
7690243.79723856,657852.75353863
7690214.37345413,657698.63772751
7690138.63594549,657561.22858621
7690024.04256763,657454.05676117
7689881.87730405,657387.6754373
7689726.13913544,657368.62116823
7688550.75604544,657410.72657823
7688540.34323011,657411.20832202
7688420.80669011,657417.98800202
7688269.42533786,657450.59165315
7688135.27974352,657527.94972575
7688031.23678328,657642.64224642
7687967.27597149,657783.66822428
7687949.53225317,657937.5008357
7688029.10433317,659894.3317057
7688029.12855368,659894.91883598
7688035.92074031,660057.25207819
7688040.48638456,660571.76518436
7688069.20160765,660734.38900621
7688149.32444681,660878.78915204
7688242.08440302,660962.20769338
7688267.2361597,661885.84972736
7688283.7739806,661973.52151038
7688265.76873907,661983.53936031
7688159.91090065,662096.75735353
7688113.85518421,662194.44258024
7688024.1617348,662154.22403364
7687963.5014048,662135.31228364
7687958.81686322,662134.49402857
7687936.18994143,662117.34513428
7687779.41485594,662065.90851891
7687717.74733155,662066.80183939
7687717.49401228,662058.27839391
7687687.28930917,661901.37727981
7687637.7629031,661813.06836116
7687657.49320828,661792.36413986
7687725.37491215,661649.57985515
7687745.28289641,661492.73933156
7687733.86447641,661141.62307156
7687704.46254024,660988.21015431
7687629.15602296,660851.35648983
7687515.29483975,660744.41899414
7687373.99184073,660677.83476554
7687219.03819694,660658.10242396
7686822.34256566,660670.08052209
7686795.87361717,660525.53276501
7686721.39660135,660387.77082427
7686607.95664277,660279.80530202
7686466.68228221,660212.22769293
7686311.43263516,660191.66740863
7685948.89795516,660200.94486863
7685947.51034911,660200.98230571
7685843.8086963,660203.92419615
7685835.15404147,659956.78558841
7685805.24569084,659803.10708869
7685729.27659623,659666.2119194
7685614.69525104,659559.52215398
7685472.73593943,659493.49833587
7685317.31725557,659474.6138603
7684590.10694557,659501.0189403
7684438.07010749,659530.54203364
7684302.36156639,659605.1745001
7684196.00218397,659717.75555954
7684129.19685077,659857.48336862
7684108.35535497,660010.95142793
7684113.06065041,660240.1665297
7683917.52400979,660246.24207197
7683486.79249914,660254.2314509
7683450.43673773,660253.65437609
7683429.23157678,660253.76751498
7683308.26773678,660256.97894498
7683307.65387675,660256.99561939
7682987.03307496,660265.90174611
7682390.45417729,660281.22605967
7682150.0936394,660287.18387055
7682151.51065117,660276.13992386
7682222.5089294,660238.4485725
7682329.75863175,660128.9411292
7682398.79517417,659992.08962353
7682423.13067394,659840.75501994
7682423.48750394,659776.52642994
7682423.32712793,659760.78471712
7682420.11569793,659636.96627712
7682416.89520189,659516.01432359
7682387.93768499,659361.13925608
7682312.22357221,659222.964738
7682197.27122173,659115.2114019
7682054.49532118,659048.57907834
7681898.07341715,659029.68431022
7681866.41098956,659030.88828501
7681866.27077825,659026.34735034
7681862.00577096,658876.71647388
7681832.96250441,658722.46642001
7681757.52816905,658584.82103688
7681643.13654418,658477.3447762
7681501.06050824,658410.62903246
7681345.30113769,658391.24839946
7681287.66349996,658393.19854556
7681196.55183283,658373.4571747
7681049.05046321,658385.84062864
7681005.92648199,658403.10945572
7680945.2679827,658405.16567658
7680792.01160232,658434.7367703
7680655.34044102,658510.12218919
7680548.57281249,658623.97578469
7680499.10878559,658729.08674435
7680356.61392198,658757.70224862
7680305.35350316,658786.61183644
7680210.09701302,658699.85457172
7680067.86893948,658635.4513561
7679912.71100788,658618.05551334
7679379.19940339,658642.14428667
7679371.88008637,658638.81010545
7679215.60055857,658621.29378881
7678714.97442857,658644.48744881
7678700.29190501,658645.38429283
7678441.59344501,658665.00969283
7678297.36682206,658697.89678013
7678169.07522234,658771.54557318
7678067.9482042,658879.50948142
7678002.83756897,659012.33826014
7677972.15057897,659109.03796014
7677971.36187605,659111.54614616
7677904.83512999,659325.07083549
7677800.38822271,659513.76773659
7677584.04133524,659905.0484716
7677579.61142013,659913.23954513
7677566.46119939,659938.1054189
7677558.98745696,659950.52147323
7677543.45139915,659973.22801889
7677536.73934582,659981.84484576
7677519.13473453,660001.58833429
7677518.9022794,660001.82078941
7677510.85929417,660009.86377465
7677487.04487082,660030.66170609
7677463.76636348,660047.55281691
7677439.89129691,660061.98890431
7677411.70229987,660075.69405146
7677394.78748337,660082.49018094
7676711.45210462,660334.41268565
7676694.06990293,660343.14278877
7676675.54528732,660342.63137286
7676648.0589898,660342.62833291
7674042.1625898,660413.99342291
7674015.93888632,660415.40150927
7672753.60132666,660516.48782857
7672647.62560188,660521.72687097
7672591.13570274,660418.72149176
7672541.81817015,660372.94415437
7672530.64745901,659995.18797056
7672530.6291202,659994.58031658
7672521.7084802,659704.83803658
7672490.95896324,659546.94421698
7672411.66467182,659406.9856288
7672292.03287944,659299.44854072
7672144.44595085,659235.46346768
7671984.17971825,659221.65311839
7671447.91928663,659262.27351648
7671325.93339782,659271.13876344
7671176.99301642,659305.38022182
7671045.35286532,659383.01130644
7671011.93621085,659420.26814939
7670624.83360513,659457.28670331
7670476.50368148,659495.00258621
7670346.53159765,659575.82035342
7670247.0953501,659692.16762132
7670187.51181854,659833.14299803
7670173.36380209,659985.5375114
7670205.97692768,660135.07225021
7670293.49678568,660361.80154456
7670338.69014244,660641.55477186
7670303.40593011,660642.82627509
7670064.78693227,660650.64984846
7670056.30120906,660651.00023791
7668758.66104432,660715.62579227
7668731.20231997,660687.83206076
7668585.21801637,660614.85307774
7668423.50866751,660592.77513958
7668259.36895751,660597.41386958
7668117.51209243,660622.16724602
7667988.59303223,660686.32311662
7667936.70997553,660734.73156508
7667526.85892585,660742.70243313
7667494.41945837,660711.31513918
7667354.6138706,660642.71232095
7667200.48300086,660620.44970584
7667062.39155086,660622.23383584
7666906.61046791,660649.24600368
7666767.05174983,660723.54786922
7666719.98770244,660772.66871316
7666718.90470144,660772.52067112
7666405.61194144,660778.94353112
7666353.31200962,660788.37289334
7666305.02073835,660781.80486252
7666068.80227835,660786.80042252
7665426.60293599,660800.70078243
7665367.53643635,660746.91938388
7665230.59066549,660683.22123497
7665080.87221577,660663.32188454
7665025.92109577,660664.39235454
7664868.81886669,660692.95451412
7664843.72620713,660706.68126819
7664785.65568648,660651.64627053
7664643.92371289,660584.32373704
7664488.30544156,660564.2431623
7664427.28829156,660566.0272823
7664363.62900068,660578.09949992
7664301.18872696,660569.95648063
7664204.48902696,660572.81109063
7664137.93708001,660585.3068101
7664055.64487407,660574.58618742
7663993.91406407,660576.37031742
7663840.04516465,660605.34267416
7663832.25974096,660609.60145996
7663773.15633623,660621.26696634
7663634.35118103,660699.87257561
7663527.36678134,660818.1943874
7663521.38909757,660831.77227118
7663431.86764654,660834.27636793
7662954.28188181,660843.15341999
7662925.64011648,660844.50812236
7662744.1094037,660858.32024201
7662657.89419583,660859.53027853
7662652.582951,660859.63304488
7662334.294631,660867.48320488
7662324.52044023,660867.81994965
7662165.02081917,660874.87745885
7662150.12215281,660861.30252562
7662004.2597708,660796.45853282
7661845.39452852,660780.88892507
7661677.35294499,660791.42529915
7661678.70991103,660781.97529068
7661676.21213103,660521.84952068
7661646.60664692,660357.09013607
7661564.27790335,660211.33651693
7661438.45401046,660100.92597628
7661283.23838698,660038.2342724
7661116.02892832,660030.28842799
7660955.5679016,660077.97908128
7660676.09779278,660215.42916052
7660623.24990766,660240.20160869
7660486.09758531,660335.24250448
7660387.85596044,660470.1206515
7660339.46660811,660629.81411405
7660346.31885014,660796.53717238
7660397.32057657,660925.58602169
7660321.70128768,660985.42550876
7660308.04102166,660957.24723887
7660219.77207492,660830.09231767
7660096.84289231,660736.02746236
7659951.03489896,660684.06776624
7659796.32220521,660679.19300107
7659647.53234006,660721.87036007
7659367.06752006,660852.11166007
7659331.58417858,660871.06699434
7659321.38034932,660862.21721835
7659288.47166925,660763.91445722
7659202.80026326,660643.73444743
7659085.7749364,660553.80170906
7659037.6035064,660527.03979906
7658912.04555989,660478.06362899
7658777.9679647,660464.40121209
7658645.11197468,660487.04517559
7658426.73478468,660555.55566559
7658293.46211458,660620.38695986
7658185.04845254,660721.43733935
7658162.00319564,660761.4052995
7658160.24124346,660763.53662815
7658152.39108346,660773.17091815
7658100.36262779,660850.86578224
7658095.72389779,660859.42959224
7658069.3180835,660930.60809522
7658058.31339661,660781.35699135
7658056.95101156,660414.53433503
7658031.25167671,660258.14421242
7657957.89813292,660117.65370073
7657844.26045318,660007.17834599
7657701.75619074,659937.81797222
7657544.70321984,659916.54144542
7657472.40009103,659918.31358346
7656966.55404478,659929.72095936
7656918.21325907,659938.59011717
7656865.50964245,659931.978792
7656638.45862297,659939.07413698
7656557.34942217,659941.18086678
7656403.12482801,659969.79922963
7656265.35625677,660044.79294211
7656157.60247026,660158.78135218
7656090.46826693,660300.5460688
7656070.56078995,660456.13504172
7656078.05411995,660703.77191172
7656078.09322292,660705.01318085
7656088.45231674,661021.3640486
7655914.54398954,661028.29982578
7655909.5002404,661028.52649062
7655688.2684504,661039.58808062
7655566.5831405,661066.1907766
7655373.03401769,661071.99989053
7655128.83025997,661078.7635476
7655117.45294606,661079.20835337
7654964.75834,661086.92020638
7654888.64827006,661071.07865379
7654334.85514006,661071.43547379
7654321.9336622,661071.61079472
7653958.56449164,661081.23883207
7653344.34701708,661096.93312224
7653342.3921103,661096.9868992
7653201.23071626,661101.14635277
7653199.1201826,660995.3182373
7653223.98932423,660635.7239659
7653207.18620682,660468.29544082
7653135.7918196,660315.92255204
7653017.89219255,660195.86284313
7652866.8404751,660121.71411139
7652699.74457677,660101.8743401
7652580.81969995,660107.93218108
7652535.40311601,660107.66658367
7652474.72683942,660106.9691561
7652463.36248443,660106.9676886
7652272.81768443,660109.1086386
7652271.94230383,660109.11924078
7652162.04006383,660110.54655078
7652135.43630138,660111.60098796
7651993.87824805,660120.99180931
7651831.84305828,660129.34892706
7651865.41924882,659591.14234759
7651850.92291313,659436.61136617
7651789.73699019,659293.97108152
7651687.75734771,659176.96629321
7651554.81073096,659096.87156765
7651403.7078589,659061.40482232
7650941.2620589,659026.79275232
7650776.84113376,659041.82295135
7650774.70381803,659042.78484002
7650280.6649098,659009.9023819
7649952.99824646,658984.69725467
7649939.22555362,658981.0861232
7649794.54511921,658965.05722644
7649651.37924647,658991.37996403
7649521.86230462,659057.82328879
7649416.97181479,659158.7556363
7649345.5980237,659285.62224174
7649313.79038935,659427.67021965
7649268.89690934,660031.56626163
7649248.0521342,660030.44089955
7648995.35883762,660012.86835088
7648994.39792659,660012.80245808
7648751.68929996,659996.39399041
7648325.23991247,659949.23252599
7648554.33500761,659425.77785195
7648789.79776375,658955.20064226
7648838.2517205,658797.63783505
7648832.83614257,658632.88196821
7648774.13967781,658478.84122956
7648668.54235585,658352.25912286
7648527.52210893,658266.89452774
7648041.52582893,658073.49511774
7647886.79430386,658038.97131864
7647729.0326349,658054.62358238
7647584.10138357,658118.8783094
7647466.57120603,658225.27565392
7647388.25799281,658363.11896421
7647382.7938307,658377.74881999
7647328.09744852,658499.76382774
7647231.68708131,658441.07048729
7647209.42901463,658311.85715369
7647127.41625897,658164.84847857
7647071.89956462,658115.79797318
7647074.65740153,658090.14639222
7647035.53074557,657925.40630865
7647011.14261507,657887.64646629
7647011.61817694,657885.52628605
7646999.599603,657736.11683271
7646992.85944173,657719.29957856
7647034.90783513,657615.51980649
7647042.44504444,657446.28478559
7646993.0406009,657284.24620134
7646892.36560145,657148.00433439
7646751.97644945,657053.19828065
7646714.96248663,657036.50262165
7646713.9105311,657035.73794713
7646704.62272049,657025.03215214
7646583.27945545,656923.3956745
7646565.30203625,656916.22900289
7646565.38551041,656897.05783487
7646541.71440313,656742.84360973
7646471.66390162,656603.43315176
7646450.24675106,656581.73790271
7646468.82903991,656436.92916611
7646460.23058117,656146.06410512
7646470.63324233,656071.16478571
7646469.20593233,656020.49557571
7646440.37974848,655866.69955708
7646365.42779295,655729.34465698
7646315.47602951,655682.14899627
7646274.36368937,655606.85803012
7646192.64619365,655529.68039448
7646191.58788891,655492.83214619
7646163.03404982,655340.0554639
7646088.94704165,655203.42767903
7645976.48545827,655096.15033454
7645836.51580406,655028.58901218
7645748.11441409,655001.85755273
7645845.61295817,654927.49878467
7645931.09352292,654809.43941258
7645970.70115292,654733.43559258
7645974.81716313,654721.13603546
7645982.41055329,654710.75316573
